all_score_corr,sim,CO2_score_corr,SNP_score_corr,none_score_corr
.30213279,1,.29320511,.24626617,.29342243
.29088545,2,.28732175,.23541008,.28550786
.27181274,3,.28251728,.22042619,.28482884
.29056546,4,.28476819,.23605452,.28464723
.28652835,5,.28436434,.23104329,.2846126
.26924604,6,.27869779,.21379443,.28102669
.274625,7,.28705764,.21353142,.28728369
.28469321,8,.28404984,.22747231,.28634048
.27884656,9,.28068224,.22037232,.28246084
.27728173,10,.28178233,.21264653,.28502157
.2935167,11,.28683159,.23990485,.28713241
.29195106,12,.29044992,.23154858,.28847459
.29156384,13,.28780651,.2278271,.28679338
.29486156,14,.29112408,.23499675,.28918216
.28227463,15,.28383666,.22396593,.28609523
.29354089,16,.28585356,.2522696,.28877619
.30172685,17,.29148322,.24698654,.29391125
.29539219,18,.29130289,.25056797,.29047254
.28450418,19,.28876194,.2256345,.28739658
.28033203,20,.28477505,.21212071,.28592798
.29979557,21,.29253665,.24615224,.29159787
.28945127,22,.28930503,.23228423,.29008055
.25759122,23,.27699608,.17312361,.28160542
.29473767,24,.29146755,.23407984,.29097232
.29455367,25,.28676546,.23241159,.28724828
.29410669,26,.28808364,.25495857,.28933275
.28736234,27,.28676456,.24149215,.2882621
.30242789,28,.29234317,.2483613,.28897655
.29220796,29,.2886788,.24549775,.29000634
.27822515,30,.28325975,.2144485,.28471449
.27063054,31,.28205219,.20980783,.28375962
.26141766,32,.2829693,.17880864,.28297788
.27997118,33,.28667164,.22186947,.28893241
.28361437,34,.28392327,.22640884,.28561044
.29570362,35,.29176626,.24372421,.2915782
.28287053,36,.28450534,.22412503,.28630129
.27043569,37,.28110909,.19758186,.28304663
.2966468,38,.28895211,.25574189,.29192311
.2994079,39,.29072565,.24505556,.29001662
.28980315,40,.28635165,.22745368,.28780094
.29084697,41,.28838888,.22838923,.28809193
.29659003,42,.28940555,.24674772,.28923938
.2792924,43,.28212434,.21604277,.28219464
.29474986,44,.293015,.23325606,.29200047
.29691935,45,.29148594,.24552789,.29181117
.28446019,46,.28329322,.23094991,.28580678
.28144696,47,.28409317,.22056629,.2862829
.27714181,48,.28324768,.21907286,.28593159
.28861666,49,.28704551,.23479652,.28751189
.30186528,50,.29075855,.26090625,.28932342
.29729363,51,.28831264,.25940111,.28747886
.29373357,52,.28790689,.25314805,.28936791
.28885725,53,.28673545,.23497012,.28680539
.2851764,54,.28789788,.23270912,.28885299
.29736096,55,.28730235,.24821104,.28828281
.30137506,56,.28881735,.25381619,.2895821
.28861997,57,.28638768,.22888955,.28618258
.27937704,58,.28286335,.23851269,.28556207
.30368647,59,.28979984,.25447169,.29162198
.3059088,60,.28975955,.26689681,.29088169
.30199021,61,.28992853,.25631794,.28796905
.29863912,62,.29219976,.25534701,.28891712
.27801979,63,.28413841,.21192296,.28677559
.28334126,64,.2804507,.22147778,.28374338
.27661934,65,.28225297,.22285442,.28606927
.27253965,66,.28095984,.20927477,.28169784
.27129006,67,.28301466,.19478822,.28851128
.28908396,68,.29055128,.24346176,.29127067
.29759857,69,.28856307,.24102955,.28945282
.29250488,70,.29187009,.23462869,.2928578
.28191242,71,.29061359,.22014484,.29050502
.28308204,72,.28761753,.22024323,.28958806
.27778974,73,.28279227,.22275017,.28607023
.26615229,74,.28187171,.19030461,.28343022
.28969806,75,.286852,.23779987,.28807899
.29576275,76,.29055226,.2327897,.28990284
.30719417,77,.28805745,.25863555,.28810182
.29386839,78,.2882331,.24147142,.29006135
.29285824,79,.29063037,.24384396,.28881803
.29287231,80,.2886886,.23358493,.29077885
.28189352,81,.28176036,.23434769,.28403339
.28501227,82,.28417674,.23266995,.28729886
.28950736,83,.28650948,.22313961,.28494167
.2822676,84,.28890374,.20731722,.2889176
.28517681,85,.28159177,.23731034,.28438947
.29300812,86,.28822249,.23227997,.28817418
.29287025,87,.28773531,.24662562,.2872816
.29406685,88,.2845965,.24277727,.28466731
.2956014,89,.28647888,.24517997,.2878834
.2916137,90,.28493977,.25241643,.28772151
.2994478,91,.2902939,.24973486,.28889069
.29355431,92,.28825846,.24920386,.28900826
.29417834,93,.28709534,.24359387,.28831357
.29106295,94,.28314841,.24243781,.28477329
.28510132,95,.28890026,.23458266,.28995854
.29392162,96,.2871567,.24491376,.28757489
.27840641,97,.28764671,.2219446,.29001582
.27213785,98,.28745833,.19449288,.28810602
.3057825,99,.28936061,.26196316,.28724375
.29986885,100,.28646749,.26620525,.28653938
.28540027,101,.28992093,.23537879,.29130119
.2863687,102,.28756365,.22577761,.28678766
.29868078,103,.28847939,.25127497,.28771231
.28523108,104,.28439358,.22511557,.28801686
.28931457,105,.2895385,.22858219,.29086709
.28087893,106,.2835671,.22465745,.28494766
.28776845,107,.28692394,.24202943,.28572434
.29328442,108,.28652948,.23517296,.28734168
.28221491,109,.28488249,.21759275,.28721195
.29601133,110,.2897228,.24283761,.29055494
.29132795,111,.28666383,.24328332,.28958932
.29047155,112,.28753653,.24726591,.28974515
.29586208,113,.28861901,.25444904,.28975007
.28096232,114,.28474599,.22061104,.2846894
.27965459,115,.28888747,.21369655,.28957808
.28965238,116,.29084983,.23891157,.29128903
.29433206,117,.29354846,.24454121,.29491889
.29557186,118,.28857014,.24599686,.28897521
.28505272,119,.28709275,.22737543,.2898522
.28272638,120,.28873339,.22411956,.28774256
.30004597,121,.28397036,.26729101,.28294551
.30464199,122,.28641063,.27372959,.28661418
.27844584,123,.28826725,.21854529,.28832042
.2945655,124,.28936875,.24815415,.28958032
.28367725,125,.28362095,.23785499,.286549
.27619368,126,.27849567,.21289633,.28457543
.28527647,127,.28687015,.23126823,.28599346
.27676484,128,.2823998,.2276651,.28454033
.28889745,129,.28745037,.23057397,.28812131
.26664039,130,.2813952,.21496026,.2842451
.28631857,131,.28803086,.23072205,.28836247
.30053085,132,.29010347,.25587228,.28730708
.29651824,133,.29163492,.23829521,.29112667
.29030389,134,.28861231,.23077348,.28741777
.2877205,135,.28530139,.24783851,.28665811
.29520062,136,.28851411,.24140786,.28979206
.28938299,137,.2895408,.23221059,.28773308
.29222697,138,.28659227,.24039233,.2873244
.29053339,139,.28533164,.24554881,.2872692
.28514111,140,.28636625,.21810977,.28740275
.28008243,141,.28673506,.23054239,.29001272
.28531167,142,.28698379,.22781429,.28738576
.28475618,143,.29032969,.23092684,.291785
.28044811,144,.2864956,.23404442,.28979567
.28840044,145,.28589764,.23858941,.28597575
.30008182,146,.28593606,.25765958,.28566965
.30169514,147,.28735566,.25452486,.28765506
.28009623,148,.28757846,.21760264,.28849086
.26802367,149,.28294075,.18736219,.284192
.28306296,150,.28670305,.22707453,.28605333
.29803848,151,.28685799,.25601619,.2863391
.29798976,152,.28562987,.2787697,.2856251
.28371546,153,.28699398,.23688477,.28801611
.29138947,154,.28694868,.24359138,.2888473
.27807766,155,.28796569,.22218077,.2891134
.27247375,156,.28184429,.20995612,.28368106
.29307109,157,.28288758,.24008939,.28585345
.28037697,158,.27985963,.22299257,.28424931
.28759974,159,.28466228,.23065293,.28446546
.29431084,160,.28763372,.24008676,.2865932
.28714663,161,.28887668,.24010262,.28955826
.29079801,162,.28758702,.23285747,.28690311
.30131266,163,.28887367,.26171863,.29177818
.28274459,164,.28463897,.23039879,.28846812
.28560638,165,.28645685,.23132066,.28684577
.28650451,166,.28444284,.22593571,.28936684
.27663198,167,.28160581,.21358721,.28138933
.27555379,168,.28627145,.20510055,.2862848
.27337441,169,.28906396,.20767221,.29134709
.28748026,170,.28451824,.23398779,.28671315
.28907391,171,.28556287,.234203,.2852644
.28992659,172,.28869599,.2323494,.28621924
.28551301,173,.28604758,.2357775,.28701517
.29750317,174,.29191065,.24509709,.29049316
.29208452,175,.28822702,.24189091,.28867078
.29101059,176,.28639808,.24107642,.29047531
.27866635,177,.28049287,.22110216,.28252712
.29984027,178,.28554568,.24858044,.28610852
.30080038,179,.2871843,.23933801,.28755733
.30621433,180,.29097918,.2568863,.28999424
.27199268,181,.28081739,.20669857,.2822831
.28129113,182,.28475568,.21996045,.28575584
.27839115,183,.28407475,.21216634,.28427941
.28091982,184,.28606477,.22436333,.28806975
.28284082,185,.28668231,.23324549,.28937843
.29697284,186,.2910504,.24247709,.28796217
.29029509,187,.28965545,.23351243,.28708136
.29097047,188,.28757396,.24031226,.28842133
.29159984,189,.28622529,.24278253,.28708184
.29369959,190,.28860235,.24462749,.28942591
.28813025,191,.28663033,.23370199,.28645217
.28700882,192,.28778464,.23802432,.29039684
.29014218,193,.29065868,.23187576,.28934711
.27565825,194,.27963531,.21618722,.28170687
.28867498,195,.28721365,.22711204,.28856018
.29303238,196,.28997841,.23438619,.28862023
.28732958,197,.28954044,.23635222,.28992951
.30011711,198,.28732863,.25262082,.28994
.30566734,199,.29143748,.26787126,.28923008
.27836952,200,.28554228,.21566741,.2859377
.28931445,201,.28610525,.24485971,.28728107
.26457754,202,.28048727,.18466353,.28252542
.28238642,203,.28490421,.23364224,.28617501
.26051086,204,.28318501,.17905526,.28168961
.27642363,205,.2779434,.21289092,.28032395
.28539306,206,.28661773,.23579492,.2869041
.29541817,207,.2902844,.23764253,.29084995
.28469196,208,.2840108,.22885038,.28535643
.29697764,209,.28711352,.24663655,.28718454
.29915306,210,.29104587,.25190535,.28946185
.25721976,211,.27978614,.17487055,.28129056
.26838291,212,.28059745,.2018154,.28196281
.26542038,213,.282776,.19907647,.28412226
.28603128,214,.28240886,.22286411,.28653803
.27720085,215,.28409183,.21541385,.28530571
.28405103,216,.28706312,.21683823,.28638721
.28573236,217,.28682694,.22477821,.28875232
.28880519,218,.28568825,.2412511,.28557715
.27994862,219,.28664988,.20960084,.28842497
.28976506,220,.28578472,.24643107,.28688124
.29038575,221,.28275019,.23817959,.2835699
.30959094,222,.29390851,.26921463,.29269832
.28206363,223,.28544024,.22442359,.28730902
.27698347,224,.27991062,.22279085,.28624046
.27302027,225,.27894962,.20071724,.28372559
.2833797,226,.28540093,.22152978,.28698435
.2788057,227,.28448179,.21256882,.28478745
.28317985,228,.28533277,.22854461,.28814432
.29446855,229,.28899175,.24306186,.2885316
.30127862,230,.2905055,.25197873,.28931737
.28695878,231,.28807694,.23314317,.28892711
.2925134,232,.28427345,.26390734,.28559786
.28735113,233,.28809521,.23562296,.28960076
.26400393,234,.27881575,.19223577,.28026018
.29941344,235,.28664383,.24680363,.28902745
.28495976,236,.28776756,.23421608,.29124835
.28391275,237,.28412092,.22893284,.28580683
.29089919,238,.28668493,.2446463,.28808874
.2847265,239,.28271303,.24305575,.28537756
.27571967,240,.2851491,.20825508,.28535673
.2750935,241,.28594574,.21046034,.28540537
.30006412,242,.28984788,.24584594,.28753611
.28451732,243,.28477916,.22769363,.28703082
.28444985,244,.2874043,.22878391,.28928143
.29685578,245,.28860104,.24212085,.28782666
.29556304,246,.28680098,.25830668,.28616247
.29309225,247,.28977051,.24527025,.28963614
.28705189,248,.2900129,.23230805,.28994685
.28523353,249,.28622106,.22900315,.28822884
.28560504,250,.28782666,.23562641,.28648499
.29523501,251,.28855392,.24242511,.28782636
.29378873,252,.28516227,.25057495,.28703627
.2841613,253,.28310814,.22668493,.28505346
.28584498,254,.28833386,.2270676,.28812659
.2799392,255,.28532913,.214654,.28569505
.27124184,256,.28545853,.20383519,.2840699
.28378651,257,.2861464,.21692607,.28614005
.2869077,258,.28414485,.23923415,.28574726
.29450324,259,.28979966,.23929681,.28871343
.28777492,260,.29029888,.22266813,.28971103
.29578102,261,.28844574,.24460052,.29044357
.29449704,262,.28942454,.24350117,.29254422
.28642964,263,.29323086,.22164063,.293051
.26880059,264,.28095928,.20423032,.28284785
.29334342,265,.28839481,.23741144,.28733242
.28779736,266,.28687859,.22695512,.2884165
.2945784,267,.28655037,.23947254,.2863943
.27704728,268,.28738937,.21525587,.28877902
.28324065,269,.2855069,.22654293,.28657153
.27954286,270,.28327563,.22414674,.28633428
.27412719,271,.28009504,.2124749,.28513524
.29084957,272,.28861427,.2318518,.28942189
.28660154,273,.2831884,.23327166,.28494772
.2862471,274,.28925335,.23197377,.28919387
.28362104,275,.28892842,.22751227,.28972176
.28901967,276,.28553194,.23201221,.28696275
.29287031,277,.28597748,.24049176,.28805217
.28382441,278,.28858855,.2370823,.28974214
.29492787,279,.28876984,.24377385,.2898674
.29652295,280,.290719,.25280616,.29048705
.27650297,281,.28481886,.21847555,.2886605
.28050521,282,.28377733,.22638799,.28697807
.28580794,283,.28903118,.22113469,.28975642
.28597131,284,.28223962,.23292515,.28633595
.286926,285,.28666314,.23267831,.28500634
.28090852,286,.28594461,.22435918,.28604171
.29190752,287,.28735965,.23273207,.28895143
.28218895,288,.28306019,.22499321,.28592688
.28757629,289,.28450814,.23804635,.28653756
.28490958,290,.28275958,.22755094,.28402311
.27976522,291,.28360549,.21767096,.28445485
.28540847,292,.2883915,.22343177,.28791967
.2892966,293,.2883735,.23880513,.28883237
.29946518,294,.28776085,.24342267,.28776413
.29676217,295,.287312,.25301144,.28832263
.29065758,296,.28562543,.23940095,.28478381
.29117116,297,.28942201,.24564368,.28923395
.29220405,298,.28741753,.2430381,.28821591
.28547758,299,.28535065,.22419897,.28477135
.2887806,300,.28869075,.22684819,.29081902
.29597893,301,.29142088,.24353285,.28761578
.28281742,302,.28520903,.22116816,.28629205
.28468218,303,.286295,.22538218,.28723356
.28205529,304,.2839354,.21612254,.28504094
.28933537,305,.28971425,.23321562,.2888293
.28435206,306,.28677383,.22746624,.28661597
.2980375,307,.29068699,.25337002,.29017127
.28842017,308,.28814194,.24051987,.28919411
.29690564,309,.29272258,.24016555,.28965667
.29239991,310,.28515804,.23947361,.28663966
.29315618,311,.28774399,.2355198,.28745538
.28975043,312,.28876519,.24389885,.28871512
.28805768,313,.28567517,.23337711,.28658924
.2619597,314,.28265271,.18473488,.28327379
.2933566,315,.28705016,.24253191,.28798214
.28966352,316,.29185745,.23215255,.29075176
.30108249,317,.29187459,.25031525,.29092839
.29228386,318,.286825,.24726874,.28760263
.28143644,319,.28644407,.22760664,.28704074
.29524302,320,.28677839,.24073173,.28824919
.28212681,321,.28657067,.21261361,.28606209
.26093137,322,.27914873,.18590081,.28133988
.29129705,323,.28465679,.23548403,.28576493
.28606987,324,.28985605,.23654372,.28993854
.29166725,325,.28288549,.23168421,.28433391
.30398852,326,.28754175,.27122453,.28733936
.29949006,327,.29061854,.25117728,.28923014
.29411456,328,.2878049,.24958317,.28924653
.27462569,329,.28344354,.21111234,.28626195
.27924541,330,.28763473,.20812595,.28733853
.29054454,331,.28692895,.24642985,.28799242
.28532806,332,.28426787,.22752701,.2842851
.28562889,333,.28658566,.23890233,.28807467
.28858367,334,.28571552,.25014046,.28569931
.3005693,335,.29040763,.25201571,.28970033
.28803545,336,.29042813,.2461534,.28973877
.28389648,337,.28453922,.22524318,.28712305
.26859689,338,.28290057,.1951739,.28518865
.2831493,339,.28989795,.22537011,.290342
.28216815,340,.28375262,.22053503,.28434673
.2880007,341,.28631666,.23297971,.28587383
.29305181,342,.28851476,.24202651,.28963691
.28320375,343,.2853083,.23490532,.2884593
.29163441,344,.28802633,.24311863,.28941229
.2831547,345,.28656349,.22482543,.2867167
.28164381,346,.28240126,.23564011,.28492674
.2857002,347,.28624946,.22434279,.286493
.25333223,348,.27812904,.16812934,.2811448
.29417199,349,.28654423,.23496252,.28769681
.28549206,350,.28597471,.22180003,.28669611
.30027846,351,.28879249,.24979049,.28991559
.28016809,352,.28497577,.23066743,.28769419
.27932933,353,.2834872,.21254016,.28631121
.27751476,354,.28722227,.21287021,.28732151
.27571481,355,.28282633,.20887855,.28402191
.28037095,356,.28770307,.22480653,.28595784
.28779426,357,.28547251,.23589402,.28521755
.30142254,358,.29116461,.24912991,.29163381
.28953689,359,.28782782,.24715707,.28937382
.28704575,360,.2841672,.23106636,.28595769
.28889042,361,.28536591,.23554008,.28683794
.29842585,362,.28950512,.2349093,.28805995
.28492165,363,.28582266,.22061086,.28730503
.26971278,364,.28192091,.1973922,.2844049
.26519644,365,.28086194,.19244361,.28144416
.29858902,366,.2907525,.25079608,.29058677
.28664762,367,.28697264,.22728989,.2873646
.2923325,368,.28537399,.23364997,.28838888
.29110837,369,.28513247,.23516729,.2866343
.2955949,370,.28860179,.24599871,.28864345
.2792176,371,.28449753,.22051091,.28789696
.2562632,372,.28053719,.16982856,.28215662
.29380018,373,.29092336,.24317209,.29140124
.29024097,374,.29008847,.23191713,.2898396
.29401818,375,.29150179,.23606688,.29041573
.28849605,376,.28313112,.23963273,.28518778
.27973944,377,.28323421,.22965683,.28243911
.28855675,378,.2848295,.23629969,.28676069
.2873964,379,.28496945,.24125908,.28602928
.28128514,380,.28663713,.22332412,.28886434
.29214737,381,.28692153,.24050036,.28816977
.29137003,382,.28899068,.23415908,.28950661
.29133311,383,.28988412,.23271221,.28621
.2897529,384,.28883615,.22554539,.2875258
.29752767,385,.28775826,.25481364,.28919968
.28412792,386,.29045931,.21996583,.28755713
.26258814,387,.28085747,.19271801,.28426293
.28175333,388,.28004494,.22432804,.2838127
.29335868,389,.2838901,.2483063,.284336
.2811546,390,.28616819,.22541195,.28746873
.2713939,391,.28155258,.20962289,.28366542
.26318932,392,.27797642,.18539788,.27962825
.29117459,393,.28876933,.24191831,.2894955
.29052371,394,.28834027,.23555231,.28892151
.29085585,395,.28462499,.24181661,.28415254
.29679734,396,.28897688,.25283501,.29156631
.29058251,397,.28679973,.22867177,.28565753
.29397207,398,.28654212,.24486196,.28978214
.27705637,399,.28309223,.20889047,.28677714
.25974786,400,.27660599,.19127712,.27876857
.2751157,401,.28444833,.2148308,.28656134
.27505302,402,.28478742,.21515936,.28743699
.28359035,403,.28437755,.24314344,.28679815
.29463944,404,.28446317,.23978472,.28431147
.29268762,405,.2854071,.26180187,.28756714
.29647607,406,.29040045,.24876729,.28866577
.2950713,407,.28722,.2440218,.28725567
.29163629,408,.28721547,.22914752,.28525129
.28814259,409,.28867486,.22326104,.29041466
.27435687,410,.2851074,.20646611,.28593105
.28704172,411,.2856231,.2308405,.28592226
.28484634,412,.28905901,.22240651,.29002407
.28331777,413,.28799096,.2258911,.28814486
.29383597,414,.2893188,.22847462,.28932077
.27729687,415,.28379083,.22402057,.2855913
.28473267,416,.28330252,.22824956,.28505269
.27404159,417,.28037906,.21386424,.28380486
.29441726,418,.28943908,.23722793,.28633991
.27958456,419,.28637323,.23017283,.28887388
.27150327,420,.28056559,.20891368,.2835958
.29000142,421,.28965554,.23456314,.28757656
.29848978,422,.28928345,.25199935,.29091722
.27286658,423,.27960172,.20752785,.28150487
.2999866,424,.29148778,.25247571,.29240733
.289498,425,.28725636,.22352114,.28654653
.28007722,426,.28482029,.22790785,.28700781
.26314875,427,.27804524,.19394033,.28025883
.27419508,428,.2809532,.20877369,.28096369
.26546243,429,.2807326,.19507676,.28232715
.27984622,430,.28623298,.21831739,.28790838
.29198647,431,.2889972,.23449534,.28928909
.29668507,432,.28631344,.24005191,.2859304
.29182267,433,.29025778,.2327082,.2869679
.28308767,434,.2849884,.22310385,.28436044
.28635037,435,.28383258,.23598304,.28557822
.28624654,436,.28786561,.22855856,.28631374
.25084805,437,.28004822,.16651365,.28179976
.28027457,438,.28924063,.22740419,.2928488
.28154892,439,.2871879,.20827033,.28678095
.2965652,440,.28696418,.2395508,.285404
.28885376,441,.29108623,.22286092,.2896609
.30252498,442,.29065877,.25301868,.28842077
.28670558,443,.28532547,.22616789,.28603327
.28821048,444,.28849936,.2205358,.28868362
.29774433,445,.28746986,.24334878,.28900263
.29819027,446,.28732684,.24426055,.2888411
.30030593,447,.28518414,.23897542,.28579053
.29159918,448,.28775254,.23548245,.290295
.28940532,449,.28776824,.23907048,.28496835
.28746244,450,.28720465,.23798087,.29034355
.29390928,451,.28584442,.24983902,.28747335
.27249384,452,.27989972,.21888162,.28179225
.26969415,453,.27946103,.20534991,.28209621
.27535707,454,.28684202,.21710999,.28677213
.29195741,455,.28570917,.24346609,.28632078
.29802659,456,.28765523,.24646398,.28892305
.29065019,457,.28233594,.23581797,.2846249
.29184446,458,.28758204,.23928808,.28970316
.29200488,459,.28690222,.23234731,.28756762
.2931537,460,.28911451,.23443799,.29035977
.29680747,461,.28821465,.2462807,.29088238
.2860795,462,.28739956,.22976834,.29072911
.27756503,463,.28186694,.2154967,.2832756
.2653805,464,.27971816,.20900075,.28310865
.27381516,465,.28441837,.21238708,.28668085
.27411979,466,.28824848,.20586552,.28779083
.27925456,467,.28539643,.21648118,.28452158
.28490257,468,.28370431,.22822905,.28649765
.27233213,469,.27993113,.20043306,.28445756
.29205322,470,.2882283,.23475535,.28730333
.2755444,471,.28226376,.22503003,.28285548
.28747895,472,.28713962,.22879101,.28945327
.28802323,473,.28289178,.22979198,.28459421
.27100584,474,.27634114,.20124921,.2812787
.27113098,475,.2817696,.21397734,.28279066
.28112578,476,.28475693,.22091773,.2866137
.28789505,477,.28672063,.22036713,.28780177
.28991669,478,.28697714,.24027294,.28809857
.27741653,479,.28113893,.20986053,.28390786
.28015625,480,.28733081,.21603391,.28556734
.28166378,481,.28213018,.21532886,.2846832
.29095161,482,.28673571,.2370833,.28752771
.28595695,483,.28405142,.23014238,.28627235
.2707198,484,.28259873,.20523931,.28167555
.2762866,485,.28338495,.2123342,.28430015
.27984768,486,.28118172,.2271914,.28278309
.28603199,487,.28763518,.2333242,.28781644
.30584949,488,.29046074,.26142922,.28859025
.29506105,489,.29144326,.24473928,.29026803
.2919372,490,.28858995,.23616908,.2896319
.29193366,491,.28844109,.2466182,.28976336
.28716284,492,.28522024,.22654018,.2869516
.27910215,493,.28526652,.2186857,.28606781
.28806132,494,.28163046,.23761603,.28168944
.27476606,495,.2841135,.20305446,.28490385
.24690609,496,.27406386,.17058949,.27636302
.2813555,497,.28571004,.22906052,.28728354
.2977556,498,.28490633,.2449389,.28654057
.2809526,499,.28405839,.22423455,.28521571
.30153471,500,.28815466,.25296748,.28719544
